Date,Open,High,Low,Close,Adj Close,Volume
2007-08-15,52.110001,59.869999,51.500000,57.709999,39.324562,10678500
2007-08-16,60.990002,61.490002,52.709999,56.990002,38.833942,6919500
2007-08-17,59.000000,59.000000,54.450001,55.549999,37.852699,3086100
2007-08-20,56.049999,57.500000,55.610001,57.330002,39.065624,2140900
2007-08-21,57.250000,66.589996,56.500000,65.989998,44.966690,7369700
2007-08-22,70.180000,73.949997,66.559998,66.849998,45.552708,10144400
2007-08-23,68.070000,70.879997,65.010002,70.199997,47.835453,4347000
2007-08-24,70.199997,72.650002,69.449997,71.300003,48.585018,3812400
2007-08-27,71.730003,73.349998,71.010002,72.300003,49.266434,2393300
2007-08-28,71.900002,72.099998,66.500000,69.779999,47.549259,3664100
2007-08-29,72.000000,72.480003,67.150002,68.199997,46.472618,3580700
2007-08-30,67.580002,70.000000,66.250000,68.459999,46.649788,1731300
2007-08-31,69.820000,70.110001,68.540001,68.889999,46.942799,921700
2007-09-04,69.059998,69.129997,67.250000,67.449997,45.961555,1353800
2007-09-05,66.550003,66.589996,63.650002,64.209999,43.753769,2245400
2007-09-06,64.599998,70.099998,64.089996,69.790001,47.556076,2599400
2007-09-07,67.010002,71.300003,66.800003,69.500000,47.358463,2668300
2007-09-10,71.989998,79.150002,68.849998,76.760002,52.305550,6667400
2007-09-11,78.699997,82.750000,76.500000,76.650002,52.230595,10613600
2007-09-12,78.440002,80.650002,77.059998,78.300003,53.354935,6005300
2007-09-13,79.550003,80.550003,76.529999,77.790001,53.007408,3253800
2007-09-14,77.220001,79.550003,76.550003,77.919998,53.095993,3093300
2007-09-17,76.150002,77.599998,73.190002,73.699997,50.220413,4773600
2007-09-18,75.349998,75.750000,72.800003,73.900002,50.356697,2931900
2007-09-19,75.300003,78.830002,74.860001,77.599998,52.877937,4228400
2007-09-20,77.660004,79.269997,76.169998,76.650002,52.230595,2464600
2007-09-21,77.349998,79.309998,76.599998,79.309998,54.043156,4114400
2007-09-24,81.000000,85.169998,80.320000,83.830002,57.123165,5649300
2007-09-25,82.309998,85.000000,82.000000,83.230003,56.714321,2964600
2007-09-26,83.989998,84.400002,82.110001,82.360001,56.121483,1539200
2007-09-27,83.050003,84.050003,82.050003,83.120003,56.639359,1855400
2007-09-28,83.889999,85.519997,82.500000,85.000000,57.920422,3419300
2007-10-01,84.750000,89.230003,83.620003,88.620003,60.387157,3845800
2007-10-02,88.970001,92.519997,88.360001,92.419998,62.976536,2869600
2007-10-03,92.430000,93.980003,87.500000,88.250000,60.135029,3965800
2007-10-04,89.150002,90.500000,88.000000,89.570000,61.034500,1754900
2007-10-05,92.150002,92.150002,89.220001,91.129997,62.097504,1881600
2007-10-08,91.209999,95.900002,91.150002,95.089996,64.795914,3030600
2007-10-09,97.220001,101.889999,96.110001,101.610001,69.238754,5864000
2007-10-10,102.510002,107.489998,101.610001,107.040001,72.938850,4765700
2007-10-11,109.980003,114.879997,99.059998,102.690002,69.974686,11110400
2007-10-12,103.129997,107.370003,98.050003,102.980003,70.172302,6356900
2007-10-15,104.489998,105.500000,96.290001,98.760002,67.296715,4837100
2007-10-16,97.099998,101.180000,95.019997,99.900002,68.073532,4283100
2007-10-17,103.040001,105.400002,101.510002,103.949997,70.833267,4329700
2007-10-18,102.000000,103.599998,100.239998,101.550003,69.197876,1942000
2007-10-19,100.720001,101.940002,97.050003,97.739998,66.601669,3486900
2007-10-22,95.199997,102.500000,91.550003,102.379997,69.763443,4348700
2007-10-23,105.989998,107.510002,103.099998,106.150002,72.332390,4440100
2007-10-24,108.769997,111.000000,102.260002,103.519997,70.540260,9660600
2007-10-25,111.699997,115.949997,106.500000,114.000000,77.681511,9962300
2007-10-26,115.989998,116.400002,109.699997,112.089996,76.380005,4344500
2007-10-29,114.599998,121.419998,113.589996,120.779999,82.301514,5741600
2007-10-30,120.000000,123.459999,117.000000,120.349998,82.008507,3496300
2007-10-31,122.849998,125.250000,120.000000,124.830002,85.061256,3693200
2007-11-01,123.000000,124.980003,121.510002,122.250000,83.303200,2535100
2007-11-02,123.820000,123.949997,114.550003,117.120003,79.807533,4368700
2007-11-05,114.000000,115.000000,109.500000,112.550003,76.693459,3831500
2007-11-06,114.790001,115.949997,109.610001,110.940002,75.596375,3342600
2007-11-07,107.529999,108.500000,102.120003,102.500000,69.845215,5051700
2007-11-08,102.919998,103.000000,87.809998,91.879997,62.608570,12203000
2007-11-09,88.500000,92.250000,84.599998,87.739998,59.787506,8034800
2007-11-12,86.500000,92.540001,76.550003,80.360001,54.758652,9036600
2007-11-13,84.230003,92.790001,82.300003,90.680000,61.790871,7504300
2007-11-14,97.720001,97.720001,86.620003,87.169998,59.399101,5853900
2007-11-15,87.449997,89.650002,81.400002,82.300003,56.080601,4615400
